player_id,player_name,primary_position,team_name,competition_name,goals_per90_scaled,assists_per90_scaled,shots_per90_scaled,shots_on_target_per90_scaled,xg_per90_scaled,passes_attempted_per90_scaled,passes_completed_per90_scaled,progressive_passes_per90_scaled,dribbles_attempted_per90_scaled,dribbles_completed_per90_scaled,carries_per90_scaled,tackles_per90_scaled,tackles_won_per90_scaled,interceptions_per90_scaled,pressures_per90_scaled,aerial_duels_per90_scaled,aerial_duels_won_per90_scaled,duels_per90_scaled,duels_won_per90_scaled,pass_accuracy_scaled,dribble_success_rate_scaled,tackle_success_rate_scaled,aerial_success_rate_scaled,duel_success_rate_scaled
26437,Albert Crusat Domene,Left Wing,Almería,La Liga,-0.4794,-0.4748,-0.3878,-0.7168,-0.0914,-1.2295,-1.1669,-1.0181,0.733,0.6403,-0.4483,0.6047,1.1819,-0.2533,0.5001,-0.4779,0.0,0.0388,1.1819,-0.7661,0.2099,0.8066,0.0,1.2379
26438,David Cobeño Iglesias,Goalkeeper,Almería,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.2659,-0.3233,0.0659,-0.9506,-0.8806,-0.8352,-1.3707,-0.9267,-1.1531,-1.7065,-1.0054,0.0,-1.6943,-0.9267,-0.2474,-1.3986,-1.0382,0.0,-0.9172
26439,Carlos García Badías,Right Center Back,Almería,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.354,-0.1363,0.2,-0.9506,-0.8806,-0.5066,-0.3793,-0.2445,1.4353,-0.6757,-0.3541,0.0,-0.5272,-0.2445,0.896,-1.3986,0.1597,0.0,0.131
26440,Juan Manuel Ortiz Palazón,Right Wing,Almería,La Liga,-0.4794,-0.4748,-0.6493,-0.7168,-0.6641,-0.8235,-0.9708,-0.9546,0.7775,0.4807,-0.5641,0.1798,-0.2652,0.0911,0.8414,-0.5886,0.0,-0.3319,-0.2652,-1.3696,0.0096,-0.3003,0.0,-0.0522
26442,Boško Janković,Center Attacking Midfield,Mallorca,La Liga,0.0151,-0.4748,0.3969,0.0621,0.1632,-1.0414,-1.1353,-1.1201,-0.2581,-0.2531,-0.8617,-0.8563,-0.5132,-0.7088,-0.2394,1.8277,0.0,0.8302,-0.5132,-1.4649,0.2308,0.3322,0.0,-0.6313
26444,Sergio Martínez Ballesteros,Right Center Back,Mallorca,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-1.5461,-1.3827,-1.2293,-0.5694,-0.2425,-1.4507,0.4183,1.554,0.8465,-0.7078,-0.8751,0.0,-0.392,1.554,-0.565,1.5912,1.3576,0.0,2.4694
26446,Guillermo Ariel Pereyra,Left Center Midfield,Mallorca,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-1.2149,-0.8625,-0.9241,-0.9506,-0.8806,-1.0873,1.611,-0.9267,2.1796,0.4336,-0.3541,0.0,0.8102,-0.9267,1.3406,-1.3986,-1.0382,0.0,-0.9172
16622,Mikel González de Martín Martínez,Right Back,Real Sociedad,La Liga,-0.4794,-0.4748,-0.6854,-0.7168,-0.5368,-0.6732,-0.5145,-0.3291,-0.7219,-0.5828,-0.8397,0.1053,-0.5959,0.7021,-0.7506,-0.1522,0.0,-0.0464,-0.5959,0.4513,0.9274,-0.6549,0.0,-0.5653
19346,Darko Kovačević,Center Forward,Real Sociedad,La Liga,-0.4794,-0.4748,0.8659,1.2306,-0.0914,-1.1487,-1.0734,-1.0847,-0.3153,-0.8806,-0.633,-0.6253,-0.9267,-1.1531,0.5525,4.2048,0.0,2.8137,-0.9267,-0.5438,-1.3986,-1.0382,0.0,-0.9172
26441,Daniel Estrada Agirrezablaga,Right Wing,Real Sociedad,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.6884,-0.8351,-0.6889,-0.7791,-0.5934,-1.0169,1.0743,-0.9267,0.3688,-0.2346,-0.8295,0.0,0.0839,-0.9267,-1.1473,1.5912,-1.0382,0.0,-0.9172
26445,Víctor Rubén López,Left Center Back,Real Sociedad,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.5526,-0.3704,-0.3621,0.3201,0.183,-0.2545,-0.6253,-0.9267,1.0687,-0.1609,-0.3541,0.0,-0.6925,-0.9267,0.6419,0.0963,-1.0382,0.0,-0.9172
26448,Javier Garrido Behovide,Left Back,Real Sociedad,La Liga,-0.4794,-0.1941,-0.8929,-0.6195,-0.6641,1.0925,1.1727,1.3241,-0.8807,-0.7636,0.4511,-0.2451,-0.6993,0.4132,-0.772,-0.5495,0.0,-0.5823,-0.6993,0.8536,1.5912,-0.698,0.0,-0.558
26449,Mikel Aranburu Eizagirre,Left Defensive Midfield,Real Sociedad,La Liga,-0.4794,-0.4748,-0.2164,-0.7168,-0.5368,-0.4036,-0.4266,-0.5628,0.4154,0.8317,-0.3908,0.4258,-0.9267,-0.5532,2.2871,-0.8295,0.0,-0.3519,-0.9267,-0.2156,0.8437,-1.0382,0.0,-0.9172
15381,Johann Vogel,Right Defensive Midfield,Real Betis,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,0.0434,0.0514,0.0394,-0.9506,-0.8806,-0.1788,0.1202,-0.9267,-1.1531,-0.6365,-1.0054,0.0,-0.6925,-0.9267,0.229,-1.3986,-1.0382,0.0,-0.9172
20519,Juan Gutiérrez Moreno,Left Center Back,Real Betis,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.7282,-0.4119,-0.2826,-0.328,-0.6254,-0.8375,-0.8265,-0.4305,0.4799,-1.0407,-0.53,0.0,-0.958,-0.4305,1.2559,-0.6511,0.5574,0.0,0.307
24511,Branko Ilič,Right Back,Real Betis,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.9944,-0.8857,-0.7635,-0.5249,-0.168,-1.2137,1.365,1.1405,1.0687,-0.042,-0.569,0.0,0.4746,1.1405,-0.1204,1.5912,0.2699,0.0,0.7761
26452,Pedro Gonzalez Contreras Cano,Goalkeeper,Real Betis,La Liga,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.6851,-1.0734,-0.8438,-0.9506,-0.8806,-1.6173,-1.3707,-0.9267,-1.1531,-1.7065,-1.0054,0.0,-1.6943,-0.9267,-2.3965,-1.3986,-1.0382,0.0,-0.9172
26453,Juan Alberto Andreu Alvarado,Right Center Back,Real Betis,La Liga,1.1523,-0.4748,-0.6403,-0.0742,-0.5368,-1.2149,-1.2843,-1.0044,-0.7409,-0.5296,-1.2637,-1.1247,-0.9267,-0.0422,-1.2309,-0.569,0.0,-1.1934,-0.9267,-1.6872,1.5912,-1.0382,0.0,-0.9172
26454,Jesús Capitán Prada,Left Defensive Midfield,Real Betis,La Liga,-0.4794,2.389,-0.478,0.2764,-0.5368,0.6415,0.4943,0.1253,0.6695,0.7466,0.679,1.2979,0.1276,1.1131,2.0612,-1.0054,0.0,0.0989,0.1276,0.0279,0.3953,-0.353,0.0,0.131
